index,freq_hz,real,imag
       1623,38039.06,          0,         -1
       1624,38062.50,         -1,         -1
       1625,38085.94,          0,          0
       1626,38109.38,          0,          0
       1627,38132.81,          0,          0
       1628,38156.25,          0,          0
       1629,38179.69,          0,          0
       1630,38203.12,          0,          0
       1631,38226.56,          0,          0
       1632,38250.00,          0,          0
       1633,38273.44,          0,          0
       1634,38296.88,          0,          0
       1635,38320.31,          0,          0
       1636,38343.75,          0,         -1
       1637,38367.19,          0,         -1
       1638,38390.62,          0,          0
       1639,38414.06,          0,         -1
       1640,38437.50,          0,          0
       1641,38460.94,          0,          0
       1642,38484.38,         -1,         -1
       1643,38507.81,          0,          0
       1644,38531.25,          0,          0
       1645,38554.69,          0,         -1
       1646,38578.12,         -1,         -1
       1647,38601.56,          0,          0
       1648,38625.00,          0,          0
       1649,38648.44,          0,         -1
       1650,38671.88,         -1,          0
       1651,38695.31,          0,          0
       1652,38718.75,         -1,          0
       1653,38742.19,          0,          0
       1654,38765.62,         -1,          0
       1655,38789.06,          0,          0
       1656,38812.50,          0,          0
       1657,38835.94,          0,         -1
       1658,38859.38,          0,          0
       1659,38882.81,          0,          0
       1660,38906.25,          0,         -1
       1661,38929.69,         -1,          0
       1662,38953.12,          0,          0
       1663,38976.56,         -1,          0
       1664,39000.00,          0,          0
       1665,39023.44,          0,          0
       1666,39046.88,          0,          0
       1667,39070.31,          0,          0
       1668,39093.75,          0,          0
       1669,39117.19,          0,          0
       1670,39140.62,          0,          0
       1671,39164.06,          0,          0
       1672,39187.50,          0,          0
       1673,39210.94,         -1,         -1
       1674,39234.38,         -1,          0
       1675,39257.81,          0,          0
       1676,39281.25,          0,          0
       1677,39304.69,          0,          0
       1678,39328.12,          0,         -1
       1679,39351.56,          0,          0
       1680,39375.00,         -1,          0
       1681,39398.44,          0,          0
       1682,39421.88,          0,          0
       1683,39445.31,          0,          0
       1684,39468.75,          0,          0
       1685,39492.19,          0,         -1
       1686,39515.62,          0,         -1
       1687,39539.06,         -1,         -1
       1688,39562.50,          0,          0
       1689,39585.94,          0,          0
       1690,39609.38,          0,          0
       1691,39632.81,          0,          0
       1692,39656.25,          0,          0
       1693,39679.69,         -1,          0
       1694,39703.12,          0,          0
       1695,39726.56,          0,          0
       1696,39750.00,          0,          0
       1697,39773.44,          0,          0
       1698,39796.88,          0,          0
       1699,39820.31,          0,          0
       1700,39843.75,          0,         -1
       1701,39867.19,          0,         -1
       1702,39890.62,          0,          0
       1703,39914.06,          0,         -1
       1704,39937.50,          0,          0
       1705,39960.94,          0,          0
       1706,39984.38,          0,          0
       1707,40007.81,          0,          0
       1708,40031.25,          0,          0
       1709,40054.69,          0,          0
       1710,40078.12,         -1,         -1
       1711,40101.56,          0,          0
       1712,40125.00,         -1,         -1
       1713,40148.44,          0,          0
       1714,40171.88,          0,          0
       1715,40195.31,         -1,          0
       1716,40218.75,          0,          0
       1717,40242.19,          0,          0
       1718,40265.62,         -1,          0
       1719,40289.06,          0,          0
       1720,40312.50,          0,         -1
       1721,40335.94,          0,         -1
       1722,40359.38,          0,          0
       1723,40382.81,          0,         -1
       1724,40406.25,          0,          0
       1725,40429.69,         -1,          0
       1726,40453.12,          0,          0
       1727,40476.56,          0,         -1
       1728,40500.00,          0,          0
       1729,40523.44,          0,          0
       1730,40546.88,          0,          0
       1731,40570.31,          0,          0
       1732,40593.75,          0,          0
       1733,40617.19,          0,          0
       1734,40640.62,          0,          0
       1735,40664.06,          0,          0
       1736,40687.50,          0,          0
       1737,40710.94,          0,          0
       1738,40734.38,          0,          0
       1739,40757.81,          0,          0
       1740,40781.25,          0,          0
       1741,40804.69,          0,          0
       1742,40828.12,          0,          0
       1743,40851.56,          0,         -1
